headshot,player_id,player,team,attempts,completions,yards,tds,ints,sacks,sack_yards,completion_percentage,yards_per_attempt,yards_per_completion,passer_rating,air_yards,adot,epa,wpa,cpoe,passer_rating_3d,success_rate,expected_completion_percentage,pass_attempts_inside_10,passing_first_downs,name_team,full_pos
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",00-0023459,A.Rodgers,NYJ,491,305,3255,23,8,32,-249,0.6211812627291242,6.629327902240326,10.672131147540984,89.87949762389681,3498,7.124236252545825,42.32538426859379,0.844091412947498,-2.2905625355672132,82.265625,0.43838028169014087,0.6677259213387589,36,161,A.Rodgers (NYJ),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",00-0026158,J.Flacco,IND,170,113,1167,9,5,13,-101,0.6647058823529411,6.864705882352941,10.327433628318584,91.05392156862744,1447,8.511764705882353,8.372091486717778,-0.12828935791922125,1.6995738249227226,110.17730496453899,0.4577114427860697,0.6637271533170378,11,60,J.Flacco (IND),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",00-0026300,J.Johnson,BAL,1,1,1,0,0,1,-5,1,1,1,89.16666666666666,0,0,-2.584988175309263,-6.507635116577148e-4,66.68373942375183,89.16666666666666,0,0.3331626057624817,0,0,J.Johnson (BAL),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",00-0026498,M.Stafford,LA,467,309,3463,19,7,28,-213,0.6616702355460385,7.415417558886509,11.207119741100323,95.01962883654532,3609,7.728051391862955,63.30028102899039,2.4511853602209808,0.09062534268065531,73.10679611650485,0.5037878787878788,0.6812129518712067,40,161,M.Stafford (LA),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",00-0027973,A.Dalton,CAR,161,106,989,7,6,7,-37,0.6583850931677019,6.142857142857143,9.330188679245284,81.09213250517598,1062,6.596273291925466,-22.29614088616611,-0.05499874077572697,-1.1419994899859796,77.95634920634922,0.4207650273224044,0.6909071743870393,16,50,A.Dalton (CAR),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",00-0028118,T.Taylor,NYJ,9,6,36,1,0,0,0,0.6666666666666666,4,6,110.92592592592592,31,3.4444444444444446,3.0363147898316383,-5.483764689415693e-4,7.9900480806827545,101.66666666666666,0.7,0.6700995191931725,2,3,T.Taylor (NYJ),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",00-0029263,R.Wilson,PIT,213,138,1784,12,3,19,-107,0.647887323943662,8.375586854460094,12.927536231884059,103.4663536776213,1768,8.300469483568076,39.3971263436252,0.9843498744321124,6.68619039731148,99.39950980392157,0.450199203187251,0.6408304037191929,18,76,R.Wilson (PIT),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13",00-0029604,K.Cousins,ATL,433,292,3396,17,15,25,-182,0.674364896073903,7.842956120092379,11.63013698630137,89.1955350269438,3275,7.563510392609699,38.729140757636486,1.8110213850630446,1.0917994443707681,96.95482866043614,0.4979757085020243,0.6826687038935845,18,157,K.Cousins (ATL),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf",00-0030565,G.Smith,SEA,466,324,3474,14,12,40,-272,0.6952789699570815,7.454935622317596,10.722222222222221,89.95350500715308,3262,7,39.699182235839245,1.8406774467931915,4.709175479652636,73.1578947368421,0.47810858143607704,0.6793656443066126,25,166,G.Smith (SEA),Quarterback
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",00-0031280,D.Carr,NO,282,189,2145,15,5,8,-48,0.6702127659574468,7.6063829787234045,11.34920634920635,99.55378250591016,2178,7.723404255319149,40.9095064198328,0.9072842789465626,3.2763743275449477,109.20886075949367,0.4299363057324841,0.6886103025260772,10,93,D.Carr (NO),Quarterback
